Year,Fully electric vehicles,Plug-in hybrids
2010,0.01665,0.00039
2011,0.05488,0.00943
2012,0.1371,0.06993
2013,0.22484,0.16148
2014,0.39776,0.29487
2015,0.71986,0.51587
2016,1.18232,0.80586
2017,1.9314,1.20537
2018,3.27434,1.83757
2019,4.79087,2.37695
